source	source.label	target	target.label	edge
	Cranberry Bush	Q156928	Guelder Rose	in North America is a Guelder Rose
	Cramp Bark	Q156928	Guelder Rose	in Medicinal Usage is a Guelder Rose
	Snowball Tree	Q156928	Guelder Rose	in England is a Guelder Rose
	Common Snowball	Q156928	Guelder Rose	in England is a Guelder Rose
	Kalyna	Q156928	Guelder Rose	in Ukraine, Russia, & Poland is a Guelder Rose
	Gilaburu	Q156928	Guelder Rose	in Turkey is a Guelder Rose
	Water Elder	Q156928	Guelder Rose	in Europe is a Guelder Rose
	Viburnum Opulus 	Q156928	Guelder Rose	in Botanical Name is a Guelder Rose
	Rose Elder	Q156928	Guelder Rose	in Europe is a Guelder Rose
